Protein_ID,Fold,Split,Cluster
vodctg000225_np551212959_L,fold_07,Train,11
vodctg000245_np551212567_C,fold_07,Train,11
vraChr51716_C,fold_07,Train,11
vraChr52544_C,fold_07,Train,11
dinctg000_np1212847_L,fold_07,Test,11
Q5SBP3_L,fold_07,Test,11
Q9SPN0_L,fold_07,Test,11
slectg127_np665_L,fold_07,Test,11
A0A059SVB0_L,fold_08,Train,5
A0A068B0N9_L,fold_08,Train,5
A0A097ZLN9_L,fold_08,Train,5
A0A097ZLP5_L,fold_08,Train,5
A0A097ZLS9_L,fold_08,Train,5
A0A0D3ML99_C,fold_08,Train,5
A0A0F6PMD0_C,fold_08,Train,5
A0A140KFH3_L,fold_08,Train,5
A0A1C9J6A7_C,fold_08,Train,5
A0A2R3ZE38_L,fold_08,Train,5
A0A2R3ZE39_L,fold_08,Train,5
A0A345BJ04_L,fold_08,Train,5
A0A3G9EWY9_L,fold_08,Train,5
A0A481YAH7_C,fold_08,Train,5
A0A4Y5QVX4_C,fold_08,Train,5
A0A4Y5QWA6_L,fold_08,Train,5
A0A4Y5QZ62_L,fold_08,Train,5
A0A5B9G8E4_L,fold_08,Train,5
A0A6C0M6B5_L,fold_08,Train,5
A0A6P6W6H5_C,fold_08,Train,5
A0A7G8EIM4_L,fold_08,Train,5
A0A7L7S5P2_L,fold_08,Train,5
A0A7L7S5U1_L,fold_08,Train,5
A7IZZ1_C,fold_08,Train,5
ATY48639_L,fold_08,Train,5
B0F4G4_C,fold_08,Train,5
B1NA83_L,fold_08,Train,5
B1NA84_L,fold_08,Train,5
B6F137_L,fold_08,Train,5
C0KWV5_L,fold_08,Train,5
C0KWV7_L,fold_08,Train,5
C0KY88_L,fold_08,Train,5
C0PPR1_L,fold_08,Train,5
D4N3A0_L,fold_08,Train,5
D4N3A1_L,fold_08,Train,5
D5SL78_L,fold_08,Train,5
dinctg000_np1212847_L,fold_08,Train,5
F2XF93_L,fold_08,Train,5
F2XFA6_L,fold_08,Train,5
F8TWD1_L,fold_08,Train,5
F8TWD2_L,fold_08,Train,5
G5CV39_L,fold_08,Train,5
H6UQ81_L,fold_08,Train,5
H6WBC5_L,fold_08,Train,5
hmoChr44410_L,fold_08,Train,5
J7HWK5_L,fold_08,Train,5
O04806_C,fold_08,Train,5
P0CV94_L,fold_08,Train,5
P0CV95_L,fold_08,Train,5
Q1XBU5_L,fold_08,Train,5
Q20HU7_C,fold_08,Train,5
Q2XSC5_L,fold_08,Train,5
Q2XSC6_C,fold_08,Train,5
Q40322_C,fold_08,Train,5
Q5SBP3_L,fold_08,Train,5
Q675L1_C,fold_08,Train,5
Q675L2_L,fold_08,Train,5
Q6F5H2_C,fold_08,Train,5
Q6F5H3_C,fold_08,Train,5
Q6ZH94_L,fold_08,Train,5
Q84UV0_L,fold_08,Train,5
Q8H2B4_L,fold_08,Train,5
Q8L5K1_C,fold_08,Train,5
Q8L5K3_C,fold_08,Train,5
Q940E7_C,fold_08,Train,5
Q96376_L,fold_08,Train,5
Q9AXM7_C,fold_08,Train,5
Q9FUW5_C,fold_08,Train,5
Q9M5A4_C,fold_08,Train,5
Q9M7C9_C,fold_08,Train,5
Q9SPN0_L,fold_08,Train,5
Q9SPN1_L,fold_08,Train,5
Q9SW76_C,fold_08,Train,5
R4I6X2_L,fold_08,Train,5
R4YVJ5_C,fold_08,Train,5
slectg065_np871_L,fold_08,Train,5
slectg127_np665_L,fold_08,Train,5
slectg240_np1756_L,fold_08,Train,5
U5PZT6_L,fold_08,Train,5
vodctg000225_np551212.245_C,fold_08,Train,5
vodctg000225_np551212959_L,fold_08,Train,5
vodctg000245_np551212567_C,fold_08,Train,5
vraChr51716_C,fold_08,Train,5
vraChr52544_C,fold_08,Train,5
A0A1Q1N939_L,fold_08,Test,5
A0A7L7T499_L,fold_08,Test,5
A0A7L7TAQ2_L,fold_08,Test,5
A0A059SVB0_L,fold_09,Train,9
A0A068B0N9_L,fold_09,Train,9
A0A097ZLN9_L,fold_09,Train,9
A0A097ZLP5_L,fold_09,Train,9
A0A097ZLS9_L,fold_09,Train,9
A0A0D3ML99_C,fold_09,Train,9
A0A0F6PMD0_C,fold_09,Train,9
A0A140KFH3_L,fold_09,Train,9
A0A1C9J6A7_C,fold_09,Train,9
A0A1Q1N939_L,fold_09,Train,9
A0A2R3ZE38_L,fold_09,Train,9
A0A2R3ZE39_L,fold_09,Train,9
A0A345BJ04_L,fold_09,Train,9
A0A3G9EWY9_L,fold_09,Train,9
A0A481YAH7_C,fold_09,Train,9
A0A4Y5QVX4_C,fold_09,Train,9
A0A4Y5QWA6_L,fold_09,Train,9
A0A4Y5QZ62_L,fold_09,Train,9
A0A5B9G8E4_L,fold_09,Train,9
A0A6C0M6B5_L,fold_09,Train,9
A0A6P6W6H5_C,fold_09,Train,9
A0A7G8EIM4_L,fold_09,Train,9
A0A7L7S5P2_L,fold_09,Train,9
A0A7L7S5U1_L,fold_09,Train,9
A0A7L7T499_L,fold_09,Train,9
A0A7L7TAQ2_L,fold_09,Train,9
A7IZZ1_C,fold_09,Train,9
ATY48639_L,fold_09,Train,9
B0F4G4_C,fold_09,Train,9
B1NA83_L,fold_09,Train,9
B1NA84_L,fold_09,Train,9
B6F137_L,fold_09,Train,9
C0KWV5_L,fold_09,Train,9
C0KWV7_L,fold_09,Train,9
C0KY88_L,fold_09,Train,9
C0PPR1_L,fold_09,Train,9
D4N3A0_L,fold_09,Train,9
D4N3A1_L,fold_09,Train,9
D5SL78_L,fold_09,Train,9
dinctg000_np1212847_L,fold_09,Train,9
F2XF93_L,fold_09,Train,9
F2XFA6_L,fold_09,Train,9
F8TWD1_L,fold_09,Train,9
F8TWD2_L,fold_09,Train,9
G5CV39_L,fold_09,Train,9
H6UQ81_L,fold_09,Train,9
H6WBC5_L,fold_09,Train,9
hmoChr44410_L,fold_09,Train,9
J7HWK5_L,fold_09,Train,9
O04806_C,fold_09,Train,9
P0CV94_L,fold_09,Train,9
P0CV95_L,fold_09,Train,9
Q1XBU5_L,fold_09,Train,9
Q20HU7_C,fold_09,Train,9
Q2XSC5_L,fold_09,Train,9
Q2XSC6_C,fold_09,Train,9
Q40322_C,fold_09,Train,9
Q5SBP3_L,fold_09,Train,9
Q675L1_C,fold_09,Train,9
Q675L2_L,fold_09,Train,9
Q6F5H2_C,fold_09,Train,9
Q6F5H3_C,fold_09,Train,9
Q6ZH94_L,fold_09,Train,9
Q84UV0_L,fold_09,Train,9
Q8H2B4_L,fold_09,Train,9
Q8L5K1_C,fold_09,Train,9
Q8L5K3_C,fold_09,Train,9
Q940E7_C,fold_09,Train,9
Q96376_L,fold_09,Train,9
Q9AXM7_C,fold_09,Train,9
Q9FUW5_C,fold_09,Train,9
Q9M5A4_C,fold_09,Train,9
Q9M7C9_C,fold_09,Train,9
Q9SPN0_L,fold_09,Train,9
Q9SPN1_L,fold_09,Train,9
Q9SW76_C,fold_09,Train,9
R4I6X2_L,fold_09,Train,9
R4YVJ5_C,fold_09,Train,9
slectg065_np871_L,fold_09,Train,9
slectg127_np665_L,fold_09,Train,9
slectg240_np1756_L,fold_09,Train,9
U5PZT6_L,fold_09,Train,9
vodctg000225_np551212959_L,fold_09,Train,9
vraChr51716_C,fold_09,Train,9
vodctg000225_np551212.245_C,fold_09,Test,9
vodctg000245_np551212567_C,fold_09,Test,9
vraChr52544_C,fold_09,Test,9
A0A059SVB0_L,fold_10,Train,2
A0A068B0N9_L,fold_10,Train,2
A0A097ZLN9_L,fold_10,Train,2
A0A097ZLP5_L,fold_10,Train,2
A0A097ZLS9_L,fold_10,Train,2
A0A0D3ML99_C,fold_10,Train,2
A0A0F6PMD0_C,fold_10,Train,2
A0A140KFH3_L,fold_10,Train,2
A0A1C9J6A7_C,fold_10,Train,2
A0A1Q1N939_L,fold_10,Train,2
A0A2R3ZE38_L,fold_10,Train,2
A0A2R3ZE39_L,fold_10,Train,2
A0A3G9EWY9_L,fold_10,Train,2
A0A481YAH7_C,fold_10,Train,2
A0A4Y5QVX4_C,fold_10,Train,2
A0A4Y5QWA6_L,fold_10,Train,2
A0A4Y5QZ62_L,fold_10,Train,2
A0A5B9G8E4_L,fold_10,Train,2
A0A6C0M6B5_L,fold_10,Train,2
A0A6P6W6H5_C,fold_10,Train,2
A0A7G8EIM4_L,fold_10,Train,2
A0A7L7S5P2_L,fold_10,Train,2
A0A7L7S5U1_L,fold_10,Train,2
A0A7L7T499_L,fold_10,Train,2
A0A7L7TAQ2_L,fold_10,Train,2
A7IZZ1_C,fold_10,Train,2
ATY48639_L,fold_10,Train,2
B0F4G4_C,fold_10,Train,2
B1NA83_L,fold_10,Train,2
B1NA84_L,fold_10,Train,2
B6F137_L,fold_10,Train,2
C0KWV5_L,fold_10,Train,2
C0KWV7_L,fold_10,Train,2
C0KY88_L,fold_10,Train,2
C0PPR1_L,fold_10,Train,2
D4N3A0_L,fold_10,Train,2
D4N3A1_L,fold_10,Train,2
D5SL78_L,fold_10,Train,2
dinctg000_np1212847_L,fold_10,Train,2
F2XF93_L,fold_10,Train,2
F2XFA6_L,fold_10,Train,2
F8TWD1_L,fold_10,Train,2
F8TWD2_L,fold_10,Train,2
G5CV39_L,fold_10,Train,2
H6UQ81_L,fold_10,Train,2
H6WBC5_L,fold_10,Train,2
hmoChr44410_L,fold_10,Train,2
J7HWK5_L,fold_10,Train,2
O04806_C,fold_10,Train,2
P0CV94_L,fold_10,Train,2
P0CV95_L,fold_10,Train,2
Q1XBU5_L,fold_10,Train,2
Q20HU7_C,fold_10,Train,2
Q2XSC5_L,fold_10,Train,2
Q2XSC6_C,fold_10,Train,2
Q40322_C,fold_10,Train,2
Q5SBP3_L,fold_10,Train,2
Q675L1_C,fold_10,Train,2
Q675L2_L,fold_10,Train,2
Q6F5H2_C,fold_10,Train,2
Q6F5H3_C,fold_10,Train,2
Q6ZH94_L,fold_10,Train,2
Q84UV0_L,fold_10,Train,2
Q8H2B4_L,fold_10,Train,2
Q8L5K1_C,fold_10,Train,2
Q8L5K3_C,fold_10,Train,2
Q940E7_C,fold_10,Train,2
Q96376_L,fold_10,Train,2
Q9AXM7_C,fold_10,Train,2
Q9FUW5_C,fold_10,Train,2
Q9M5A4_C,fold_10,Train,2
Q9M7C9_C,fold_10,Train,2
Q9SPN0_L,fold_10,Train,2
Q9SW76_C,fold_10,Train,2
R4I6X2_L,fold_10,Train,2
R4YVJ5_C,fold_10,Train,2
slectg065_np871_L,fold_10,Train,2
slectg127_np665_L,fold_10,Train,2
slectg240_np1756_L,fold_10,Train,2
U5PZT6_L,fold_10,Train,2
vodctg000225_np551212.245_C,fold_10,Train,2
vodctg000225_np551212959_L,fold_10,Train,2
vodctg000245_np551212567_C,fold_10,Train,2
vraChr51716_C,fold_10,Train,2
vraChr52544_C,fold_10,Train,2
A0A345BJ04_L,fold_10,Test,2
Q9SPN1_L,fold_10,Test,2
A0A059SVB0_L,fold_11,Train,8
A0A068B0N9_L,fold_11,Train,8
A0A097ZLN9_L,fold_11,Train,8
A0A097ZLP5_L,fold_11,Train,8
A0A097ZLS9_L,fold_11,Train,8
A0A0D3ML99_C,fold_11,Train,8
A0A0F6PMD0_C,fold_11,Train,8
A0A140KFH3_L,fold_11,Train,8
A0A1C9J6A7_C,fold_11,Train,8
A0A1Q1N939_L,fold_11,Train,8
A0A2R3ZE38_L,fold_11,Train,8
A0A2R3ZE39_L,fold_11,Train,8
A0A345BJ04_L,fold_11,Train,8
A0A3G9EWY9_L,fold_11,Train,8
A0A481YAH7_C,fold_11,Train,8
A0A4Y5QVX4_C,fold_11,Train,8
A0A5B9G8E4_L,fold_11,Train,8
A0A6C0M6B5_L,fold_11,Train,8
A0A6P6W6H5_C,fold_11,Train,8
A0A7G8EIM4_L,fold_11,Train,8
A0A7L7S5P2_L,fold_11,Train,8
A0A7L7S5U1_L,fold_11,Train,8
A0A7L7T499_L,fold_11,Train,8
A0A7L7TAQ2_L,fold_11,Train,8
A7IZZ1_C,fold_11,Train,8
ATY48639_L,fold_11,Train,8
B0F4G4_C,fold_11,Train,8
B1NA83_L,fold_11,Train,8
B1NA84_L,fold_11,Train,8
B6F137_L,fold_11,Train,8
C0KWV5_L,fold_11,Train,8
C0KWV7_L,fold_11,Train,8
C0KY88_L,fold_11,Train,8
C0PPR1_L,fold_11,Train,8
D4N3A0_L,fold_11,Train,8
D4N3A1_L,fold_11,Train,8
D5SL78_L,fold_11,Train,8
dinctg000_np1212847_L,fold_11,Train,8
F2XF93_L,fold_11,Train,8
F2XFA6_L,fold_11,Train,8
F8TWD1_L,fold_11,Train,8
F8TWD2_L,fold_11,Train,8
G5CV39_L,fold_11,Train,8
H6UQ81_L,fold_11,Train,8
H6WBC5_L,fold_11,Train,8
hmoChr44410_L,fold_11,Train,8
J7HWK5_L,fold_11,Train,8
O04806_C,fold_11,Train,8
P0CV94_L,fold_11,Train,8
P0CV95_L,fold_11,Train,8
Q1XBU5_L,fold_11,Train,8
Q20HU7_C,fold_11,Train,8
Q2XSC5_L,fold_11,Train,8
Q2XSC6_C,fold_11,Train,8
Q40322_C,fold_11,Train,8
Q5SBP3_L,fold_11,Train,8
Q675L1_C,fold_11,Train,8
Q675L2_L,fold_11,Train,8
Q6F5H2_C,fold_11,Train,8
Q6F5H3_C,fold_11,Train,8
Q6ZH94_L,fold_11,Train,8
Q84UV0_L,fold_11,Train,8
Q8H2B4_L,fold_11,Train,8
Q8L5K1_C,fold_11,Train,8
Q8L5K3_C,fold_11,Train,8
Q940E7_C,fold_11,Train,8
Q96376_L,fold_11,Train,8
Q9AXM7_C,fold_11,Train,8
Q9FUW5_C,fold_11,Train,8
Q9M5A4_C,fold_11,Train,8
Q9M7C9_C,fold_11,Train,8
Q9SPN0_L,fold_11,Train,8
Q9SPN1_L,fold_11,Train,8
Q9SW76_C,fold_11,Train,8
R4I6X2_L,fold_11,Train,8
R4YVJ5_C,fold_11,Train,8
slectg065_np871_L,fold_11,Train,8
slectg127_np665_L,fold_11,Train,8
slectg240_np1756_L,fold_11,Train,8
U5PZT6_L,fold_11,Train,8
vodctg000225_np551212.245_C,fold_11,Train,8
vodctg000225_np551212959_L,fold_11,Train,8
vodctg000245_np551212567_C,fold_11,Train,8
vraChr51716_C,fold_11,Train,8
vraChr52544_C,fold_11,Train,8
A0A4Y5QWA6_L,fold_11,Test,8
A0A4Y5QZ62_L,fold_11,Test,8
A0A059SVB0_L,fold_12,Train,6
A0A068B0N9_L,fold_12,Train,6
A0A097ZLN9_L,fold_12,Train,6
A0A097ZLP5_L,fold_12,Train,6
A0A097ZLS9_L,fold_12,Train,6
A0A0D3ML99_C,fold_12,Train,6
A0A0F6PMD0_C,fold_12,Train,6
A0A140KFH3_L,fold_12,Train,6
A0A1C9J6A7_C,fold_12,Train,6
A0A1Q1N939_L,fold_12,Train,6
A0A2R3ZE38_L,fold_12,Train,6
A0A2R3ZE39_L,fold_12,Train,6
A0A345BJ04_L,fold_12,Train,6
A0A481YAH7_C,fold_12,Train,6
A0A4Y5QVX4_C,fold_12,Train,6
A0A4Y5QWA6_L,fold_12,Train,6
A0A4Y5QZ62_L,fold_12,Train,6
A0A5B9G8E4_L,fold_12,Train,6
A0A6C0M6B5_L,fold_12,Train,6
A0A6P6W6H5_C,fold_12,Train,6
A0A7G8EIM4_L,fold_12,Train,6
A0A7L7S5P2_L,fold_12,Train,6
A0A7L7S5U1_L,fold_12,Train,6
A0A7L7T499_L,fold_12,Train,6
A0A7L7TAQ2_L,fold_12,Train,6
A7IZZ1_C,fold_12,Train,6
ATY48639_L,fold_12,Train,6
B0F4G4_C,fold_12,Train,6
B1NA83_L,fold_12,Train,6
B1NA84_L,fold_12,Train,6
B6F137_L,fold_12,Train,6
C0KWV5_L,fold_12,Train,6
C0KWV7_L,fold_12,Train,6
C0KY88_L,fold_12,Train,6
C0PPR1_L,fold_12,Train,6
D4N3A0_L,fold_12,Train,6
D4N3A1_L,fold_12,Train,6
D5SL78_L,fold_12,Train,6
dinctg000_np1212847_L,fold_12,Train,6
F2XF93_L,fold_12,Train,6
F2XFA6_L,fold_12,Train,6
F8TWD1_L,fold_12,Train,6
F8TWD2_L,fold_12,Train,6
G5CV39_L,fold_12,Train,6
H6UQ81_L,fold_12,Train,6
H6WBC5_L,fold_12,Train,6
hmoChr44410_L,fold_12,Train,6
J7HWK5_L,fold_12,Train,6
O04806_C,fold_12,Train,6
P0CV94_L,fold_12,Train,6
P0CV95_L,fold_12,Train,6
Q1XBU5_L,fold_12,Train,6
Q20HU7_C,fold_12,Train,6
Q2XSC5_L,fold_12,Train,6
Q2XSC6_C,fold_12,Train,6
Q40322_C,fold_12,Train,6
Q5SBP3_L,fold_12,Train,6
Q675L1_C,fold_12,Train,6
Q675L2_L,fold_12,Train,6
Q6F5H2_C,fold_12,Train,6
Q6F5H3_C,fold_12,Train,6
Q6ZH94_L,fold_12,Train,6
Q84UV0_L,fold_12,Train,6
Q8H2B4_L,fold_12,Train,6
Q8L5K1_C,fold_12,Train,6
Q8L5K3_C,fold_12,Train,6
Q940E7_C,fold_12,Train,6
Q96376_L,fold_12,Train,6
Q9AXM7_C,fold_12,Train,6
Q9FUW5_C,fold_12,Train,6
Q9M5A4_C,fold_12,Train,6
Q9M7C9_C,fold_12,Train,6
Q9SPN0_L,fold_12,Train,6
Q9SPN1_L,fold_12,Train,6
Q9SW76_C,fold_12,Train,6
R4I6X2_L,fold_12,Train,6
R4YVJ5_C,fold_12,Train,6
slectg065_np871_L,fold_12,Train,6
slectg127_np665_L,fold_12,Train,6
slectg240_np1756_L,fold_12,Train,6
U5PZT6_L,fold_12,Train,6
vodctg000225_np551212.245_C,fold_12,Train,6
vodctg000225_np551212959_L,fold_12,Train,6
vodctg000245_np551212567_C,fold_12,Train,6
vraChr51716_C,fold_12,Train,6
vraChr52544_C,fold_12,Train,6
A0A3G9EWY9_L,fold_12,Test,6
